name,slug,country,city,homepage,lat,lng,programs
"tu berlin","tu-berlin","Tyskland","Berlin","","52.5170365","13.3888599","{'materialteknologi':1,'msc industriell økologi':1,'industriell matematikk':2,'kybernetikk og robotikk (sivilingeniør -5årig master)':1,'mtmart':1,'energi og miljø':1,'industriell økonomi (marin)':1,'bygg- og miljøteknikk':1,'mt bygg':1,'marin teknikk':1,}"
"danmark tekniske universitet","danmark-tekniske-universitet","Danmark","københavn","","55.6867243","12.5700724","{'bioteknologi msbiotech':1,'master i industriell økonomi og teknologiledelse':1,}"
"politecnico di milano","politecnico-di-milano","Italia","Milano","","45.4641943","9.1896346","{'produktutvikling og produksjon':9,'bygg- og miljøteknikk':5,'energi og miljø':7,'indøk':3,'mtdt':1,'datateknologi':2,'5-åring master i arkitektur':1,'industriell økonomi og teknologiledelse':6,'bygg og miljøteknikk, 5.årig':1,'logistikkingeniør':1,'energi &amp; miljø':1,'mtdesig (industriell design)':1,'industriell økonomi og teknologiledelse (data)':1,'ingeniørvitenskap og ikt':1,'mtbygg':3,'mting':1,'konstruksjon':1,'':1,'industriell design':2,'industriell kjemi og bioteknologi':6,'kommunikasjonsteknologi':4,'master i arkitektur':1,'bygg og miljøteknikk - konstruksjon':1,'mtenerg':1,'kybernetikk og robotikk':2,'bygg og miljøteknikk':2,'produktutvikling og produksjon, 5-årig':1,'bygg -og miljøteknikk':1,'tekniske geofag (mttekgeo)':1,'produsjonsteknologi':1,'mtprod':1,'produktutvikling og produksjon - industriell mekanikk':1,'produktutvikling og produksjon (produksjonsteknologi)':1,'sustainable manufacturing':1,'teknisk kybernetikk':1,'sustainable architecture':1,}"
"ludwig-maximilian universität (lmu)","ludwig-maximilian-universität-(lmu)","Tyskland","München","","48.1371079","11.5753822","{'profesjonsstudiet i psykologi':1,}"
"la sapienza","la-sapienza","Italia","Roma","","41.8933203","12.4829321","{'i&amp;ikt - geomatikk':1,'datateknologi, 5-årig':1,'arkitektur':1,'industriell økonomi og teknologiledelse':1,'kybernetikk og robotikk':2,'mtfyma':1,'informatikk':1,'master i teknologiledelse':1,'kommunikasjonsteknologi':2,'energi og miljø':1,}"
"boku, universität für bodenkultur","boku,-universität-für-bodenkultur","Østerrike","Wien","","48.2083537","16.3725042","{'bygg og miljøteknikk, vann og miljøteknikk':1,}"
"universitetet i bolgona","universitetet-i-bolgona","Italia","Bologna","","44.4938203","11.3426327","{'fysikk og matematikk':1,}"
"osaka metropolitan university","osaka-metropolitan-university","Japan","Osaka","","34.661629000000005","135.49992679245517","{'kybernetikk og robotikk':1,}"
"upv","upv","Spania","Valencia","","39.4697065","-0.3763353","{'produktutvikling og produksjon - robotikk og automasjon':1,'indøk':1,'pup puma':1,'kybernetikk og robotikk':1,'produktutvikling og produksjon':2,'marin teknikk':1,'bygg- og miljøteknikk':10,'bygg og miljøteknikk':3,'mtenerg':4,'industriell økonomi og teknologiledelse':1,'energi og miljø':1,'mtdt':1,}"
"university of bologna","university-of-bologna","Italia","Bologna","","44.4938203","11.3426327","{'datateknologi, 5-årig':1,'datateknologi':3,'industriell økonomi og teknologiledelse':4,'kommunikasjonsteknologi og digital sikkerthet':1,'':2,'sivilingeniør, datateknologi':1,'energi og miljø':6,'mtfyma, retning industriell matematikk':1,'bygg- og miljøteknikk':4,'kybernetikk og robotikk':3,'medisin - profesjon':1,'kommunikasjonsteknologi':1,'bygg og miljøteknikk':1,'kybernetikk of robotikk':1,'medisin':1,'master i samfunnsøkonomi':1,'kybernetikk':1,}"
"universitetet i genoa","universitetet-i-genoa","Italia","Genoa","","44.40726","8.9338624","{'marin teknikk':1,}"
"technische universität münchen (tum)","technische-universität-münchen-(tum)","Tyskland","München","","48.1371079","11.5753822","{'mttk':1,'produktutvikling og produksjon (maskin)':1,'bygg-og miljøteknikk':1,'fysikk og matematikk - masterstudium (5-årig)':1,'energi og miljø':1,'industriell økonomi og teknologiledelse':2,'sivilingeniør bygg- og miljøteknikk':1,'kybernetikk og robotikk':2,}"
"ist","ist","Portugal","Lisboa","","38.7077507","-9.1365919","{'energi og miljø':1,'informatikk':1,'ingeniørvitenskap og ikt':3,'bygg- og miljøteknikk':2,'fysikk og matematikk':1,'elektronisk systemdesign og innovasjon':1,'datateknologi':1,'ingeniørvitenskap og ikt - geomatikk':1,'i&amp;ikt':1,'industriell kjemi og bioteknologi':1,'marin teknikk':3,'komtek':1,'mtmart':1,'kybernetikk og robotikk':1,'':1,'produktutvikling og produksjon':1,'mttk':1,'mtprod':1,}"
